Songs & Artist,Streams,Daily,Artist,Country
 Before You Go,2004756700,790289.0,Lewis Capaldi ,Canada
 7 Years,2004016428,698891.0,Lukas Graham ,Canada
 Better Now,2000387845,379089.0,Post Malone ,Canada
 The Box,1998554926,1784040.0,Roddy Ricch ,Canada
 Sweet Child O' Mine,1992799253,1155866.0,Guns N' Roses ,Canada
 Stitches,1988079214,779681.0,Shawn Mendes ,Canada
 Roses,1974753514,560695.0,SAINt JHN ,Canada
 Another One Bites The Dust,1965915289,1009259.0,Queen ,Canada
 I'm Not The Only One,1964641555,876003.0,Sam Smith ,Canada
 See You Again,1963447110,655602.0,Wiz Khalifa ,Canada
 We Don't Talk Anymore,1960985032,853393.0,Charlie Puth ,Canada
 MONTERO (Call Me By Your Name),1955908899,522900.0,Lil Nas X ,Canada
 Moonlight,1954733684,618515.0,XXXTENTACION ,Canada
 Don't Let Me Down,1954132444,666177.0,The Chainsmokers ,Canada
 I'm Yours,1949947280,965650.0,Jason Mraz ,Canada
 Payphone,1940631965,1234525.0,Maroon 5 ,Canada
 Mood,1934675271,583691.0,24kGoldn ,Canada
 Dynamite,1929807019,575285.0,BTS ,Canada
 when the party's over,1927673522,768227.0,Billie Eilish ,Canada
" thank u, next",1922891621,411008.0,Ariana Grande ,Canada
 Radioactive,1922599679,741272.0,Imagine Dragons ,Canada
 Seven,1917641700,2570770.0,Jung Kook ,Canada
 Kiss Me More,1916069066,845262.0,Doja Cat ,Canada
 Pumped Up Kicks,1913514682,1187417.0,Foster The People ,Canada
 The Real Slim Shady,1910148039,846564.0,Eminem ,Canada
 La Bachata,1909400212,1590582.0,Manuel Turizo ,Canada
 Blank Space,1909046390,674338.0,Taylor Swift ,Canada
 Rolling in the Deep,1907608328,1075616.0,Adele ,Canada
 Me Porto Bonito,1904477660,713517.0,Bad Bunny ,Canada
 Sugar,1904472012,716622.0,Maroon 5 ,Canada
 Africa,1885681517,1254431.0,TOTO ,Canada
 The Nights,1884461462,948405.0,Avicii ,Canada
 Call Out My Name,1881580349,1038316.0,The Weeknd ,Canada
 Iris,1879576385,2303736.0,The Goo Goo Dolls ,Canada
 Billie Jean,1876175652,1140894.0,Michael Jackson ,Canada
 Attention,1868493179,993199.0,Charlie Puth ,Canada
 I Don't Care,1860955107,614140.0,Ed Sheeran ,Canada
 Numb,1860165774,1918957.0,Linkin Park ,Canada
 Me Rehúso,1857821706,1339222.0,Danny Ocean ,Canada
 Easy On Me,1855414848,1503316.0,Adele ,Canada
 This Is What You Came For,1852484716,586916.0,Calvin Harris ,Canada
 Heathens,1851495827,493777.0,Twenty One Pilots ,Canada
 Somebody That I Used To Know,1846980747,908160.0,Gotye ,Canada
 Youngblood,1844385350,463511.0,5 Seconds of Summer ,Canada
 I Like Me Better,1836019716,461619.0,Lauv ,Canada
 See You Again,1822379391,2002703.0,"Tyler, The Creator ",Canada
 Ride,1821537537,643292.0,Twenty One Pilots ,Canada
 All I Want for Christmas Is You,1819599508,263131.0,Mariah Carey ,Canada
 I'm Good (Blue),1818806137,1309766.0,David Guetta ,Canada
 Shut Up and Dance,1818525910,1389151.0,WALK THE MOON ,Canada
 Cheap Thrills,1816755550,361118.0,Sia ,Canada
 Chandelier,1812363965,810500.0,Sia ,Canada
 I Feel It Coming,1811808940,536226.0,The Weeknd ,Canada
 Gangsta's Paradise,1811411229,1202607.0,Coolio ,Canada
 Can't Feel My Face,1811295571,556354.0,The Weeknd ,Canada
 LA CANCIÓN,1810059940,942056.0,J Balvin ,Canada
 Be Alright,1809868485,640260.0,Dean Lewis ,Canada
 505,1808409626,1612672.0,Arctic Monkeys ,Canada
 Bad Habits,1807981092,415265.0,Ed Sheeran ,Canada
 Mockingbird,1807432070,995704.0,Eminem ,Canada
 Why'd You Only Call Me When You're High?,1802690346,1023998.0,Arctic Monkeys ,Canada
 Despacito,1800662716,555695.0,Luis Fonsi ,Canada
 Maps,1797284924,1224615.0,Maroon 5 ,Canada
 Creep,1794349416,1424032.0,Radiohead ,Canada
 Eastside,1793624392,588767.0,benny blanco ,Canada
 We Found Love,1792572567,1110136.0,Rihanna ,Canada
 Let Me Down Slowly,1786338746,614892.0,Alec Benjamin ,Canada
" CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1785519223,422237.0,Justin Timberlake ,Canada
 Dreams,1785422732,1166441.0,Fleetwood Mac ,Canada
 Everybody Wants To Rule The World,1783980738,1115910.0,Tears For Fears ,Canada
 Hips Don't Lie,1779535294,1480682.0,Shakira ,Canada
 All The Stars,1776077972,1279419.0,Kendrick Lamar ,Canada
 Heather,1774504885,931443.0,Conan Gray ,Canada
" Quevedo: Bzrp Music Sessions, Vol. 52",1769301862,661664.0,Bizarrap ,Canada
 Dusk Till Dawn,1768869508,844986.0,ZAYN ,Canada
 Cheerleader (Felix Jaehn Remix),1755204019,852499.0,OMI ,Canada
 Seven Nation Army,1755032069,901214.0,The White Stripes ,Canada
 The Less I Know The Better,1749093856,975458.0,Tame Impala ,Canada
 HIGHEST IN THE ROOM,1748280768,1364955.0,Travis Scott ,Canada
 I Ain't Worried,1746634026,996673.0,OneRepublic ,Canada
 Adore You,1742267375,458807.0,Harry Styles ,Canada
 Despacito,1739696575,246341.0,Luis Fonsi ,Canada
 Have You Ever Seen The Rain,1738495762,1322049.0,Creedence Clearwater Revival ,Canada
 a thousand years,1738414797,787185.0,Christina Perri ,Canada
 September,1735938998,1777196.0,"Earth, Wind & Fire ",Canada
 Earned It (Fifty Shades Of Grey),1734170659,694903.0,The Weeknd ,Canada
 Wow.,1732073278,385255.0,Post Malone ,Canada
 Danza Kuduro,1728118963,1420957.0,Don Omar ,Canada
 Sweet but Psycho,1726792559,499453.0,Ava Max ,Canada
 Set Fire to the Rain,1723054067,1279745.0,Adele ,Canada
 I Don’t Wanna Live Forever (Fifty Shades Darker),1722825749,592665.0,ZAYN ,Canada
 Titanium,1720185170,846802.0,David Guetta ,Canada
 Fuck Love,1716484443,1000411.0,XXXTENTACION ,Canada
 Night Changes,1710448066,1587755.0,One Direction ,Canada
 death bed (coffee for your head),1709349322,488636.0,Powfu ,Canada
 deja vu,1704326980,892114.0,Olivia Rodrigo ,Canada
 Ghost,1700853908,954657.0,Justin Bieber ,Canada
 Highway to Hell,1700831032,844246.0,AC/DC ,Canada
 Under Pressure,1698396151,839787.0,Queen ,Canada
 Livin' On A Prayer,1697823891,1136288.0,Bon Jovi ,Canada
 Beggin',1696715794,979236.0,Måneskin ,Canada
 Party In The U.S.A.,1694868043,1070718.0,Miley Cyrus ,Canada
 Passionfruit,1690329391,564426.0,Drake ,Canada
 Hotel California,1689768488,868595.0,Eagles ,Canada
 Woman,1689606851,621317.0,Doja Cat ,Canada
 All Girls Are The Same,1689205685,778793.0,Juice WRLD ,Canada
 everything i wanted,1686423269,633656.0,Billie Eilish ,Canada
 Cake By The Ocean,1684299898,543917.0,DNCE ,Canada
 Dandelions,1682984088,1402891.0,Ruth B. ,Canada
 Party In The U.S.A.,1681456919,1095366.0,The Starlite Singers ,Canada
 Cake By The Ocean,1681217835,529390.0,MUSIC LAB JPN ,Canada
 Somewhere Only We Know,1680171506,1173736.0,Keane ,Canada
 Mask Off,1678131604,798700.0,Future ,Canada
 Girls Like You,1677729444,316375.0,Maroon 5 ,Canada
 Redbone,1672980299,540473.0,Childish Gambino ,Canada
 I Fall Apart,1668473399,266325.0,Post Malone ,Canada
 traitor,1667873446,1019811.0,Olivia Rodrigo ,Canada
 Silence,1666980842,656868.0,Marshmello ,Canada
 ROCKSTAR,1663988786,220116.0,DaBaby ,Canada
 Anti,1663786298,786091.0,Taylor Swift ,Canada
 Peaches,1662441832,435491.0,Justin Bieber ,Canada
 I Like It,1661239166,486390.0,Cardi B ,Canada
 Everybody Dies In Their Nightmares,1660165543,582641.0,XXXTENTACION ,Canada
 High Hopes,1657460648,438574.0,Panic! At The Disco ,Canada
 Falling,1655619434,510899.0,Trevor Daniel ,Canada
 What Do You Mean?,1655433299,471555.0,Justin Bieber ,Canada
 Back In Black,1652115885,1146153.0,AC/DC ,Canada
 Pompeii,1651637367,615784.0,Bastille ,Canada
 Save Your Tears,1641748842,751787.0,The Weeknd ,Canada
 A Sky Full of Stars,1641707174,1088909.0,Coldplay ,Canada
 Shivers,1641091438,576659.0,Ed Sheeran ,Canada
 Umbrella,1636910762,878438.0,Rihanna ,Canada
 Unholy,1631228677,706986.0,Sam Smith ,Canada
 IDGAF,1629675467,336216.0,Dua Lipa ,Canada
 Love The Way You Lie,1629560987,787222.0,Eminem ,Canada
 Ric Flair Drip,1625106767,1245182.0,Offset ,Canada
" Hey, Soul Sister",1624443268,992714.0,Train ,Canada
 Halo,1615523802,531984.0,Beyoncé ,Canada
 Summer,1614000617,1031491.0,Calvin Harris ,Canada
 Thunderstruck,1608363290,1059412.0,AC/DC ,Canada
 Taki Taki,1605231473,377998.0,DJ Snake ,Canada
 Clean White Noise,1599824641,309520.0,White Noise Baby Sleep ,Canada
 In Da Club,1596825640,907381.0,50 Cent ,Canada
 Sign of the Times,1595955695,549052.0,Harry Styles ,Canada
 Hello,1593897824,445351.0,Adele ,Canada
 Young Dumb & Broke,1592320911,612890.0,Khalid ,Canada
 Money Trees,1590110223,982781.0,Kendrick Lamar ,Canada
 Summertime Sadness,1589975467,1288243.0,Lana Del Rey ,Canada
 Cold Water,1587716278,419538.0,Major Lazer ,Canada
 Rude,1587114855,1021257.0,MAGIC! ,Canada
 Rockabye,1584107293,511887.0,Clean Bandit ,Canada
 Enemy,1582493803,697745.0,Imagine Dragons ,Canada
 Tití Me Preguntó,1581585881,555823.0,Bad Bunny ,Canada
 I Love You So,1581515206,1632811.0,The Walters ,Canada
 Enemy feat. J.I.D. (from the series Arcane League of Legends),1577515671,835085.0,Imagine Dragons ,Canada
Marie ,1573896976,406715.0,Anne,Canada
 Timber,1571155207,808083.0,Pitbull ,Canada
 Love Me Like You Do,1566773038,319458.0,Ellie Goulding ,Canada
 Love On The Brain,1565308689,893857.0,Rihanna ,Canada
 Moves Like Jagger,1563824793,1061186.0,Maroon 5 ,Canada
 Needed Me,1557730768,747244.0,Rihanna ,Canada
 Pepas,1555082997,527762.0,Farruko ,Canada
 Fix You,1551990399,845817.0,Coldplay ,Canada
 Sex on Fire,1550462532,1309023.0,Kings of Leon ,Canada
 Old Town Road,1549228839,206616.0,Lil Nas X ,Canada
 One Last Time,1549161942,781092.0,Ariana Grande ,Canada
 Daddy Issues,1547251781,1223863.0,The Neighbourhood ,Canada
 Drip Too Hard (Lil Baby & Gunna),1544841524,534187.0,Lil Baby ,Canada
 I Want It That Way,1544056252,1153860.0,Backstreet Boys ,Canada
 Psycho,1543241731,201518.0,Post Malone ,Canada
 Hall of Fame,1542098419,1837351.0,The Script ,Canada
 The Middle,1540659164,393570.0,Zedd ,Canada
 Lover,1539880718,1035606.0,Taylor Swift ,Canada
 Stolen Dance,1538881994,792189.0,Milky Chance ,Canada
 Tusa,1534089441,330337.0,KAROL G ,Canada
 Godzilla,1529403584,565521.0,Eminem ,Canada
 Hope,1525632303,774140.0,XXXTENTACION ,Canada
 Last Christmas,1521484332,313118.0,Wham! ,Canada
 Symphony,1520984864,892207.0,Clean Bandit ,Canada
 Mi Gente,1520780894,408067.0,J Balvin ,Canada
 Dark Horse,1520335248,876253.0,Katy Perry ,Canada
 you broke me first,1519955294,793822.0,Tate McRae ,Canada
 I Gotta Feeling,1519052999,1040439.0,Black Eyed Peas ,Canada
 Lush Life,1516383293,624542.0,Zara Larsson ,Canada
 ocean eyes,1516052339,1004008.0,Billie Eilish ,Canada
 Let You Down,1509746527,302155.0,NF ,Canada
 She Will Be Loved,1509373916,823885.0,Maroon 5 ,Canada
 Feel Good Inc.,1503556265,827089.0,Gorillaz ,Canada
 Ojitos Lindos,1502448792,626347.0,Bad Bunny ,Canada
 Callaita,1501878931,430130.0,Bad Bunny ,Canada
 24K Magic,1500159446,885930.0,Bruno Mars ,Canada
 BUTTERFLY EFFECT,1499161291,772987.0,Travis Scott ,Canada
 ROXANNE,1498436268,214802.0,Arizona Zervas ,Canada
 In the Name of Love,1498139856,621663.0,Martin Garrix ,Canada
Z ,1497710432,551524.0,JAY,Canada
 In My Mind,1497655248,639976.0,Dynoro ,Canada
 Hymn for the Weekend,1496256559,1056203.0,Coldplay ,Canada
 Diamonds,1495602727,665444.0,Rihanna ,Canada
 Californication,1495290583,725547.0,Red Hot Chili Peppers ,Canada
 Still D.R.E.,1494699230,665899.0,Dr. Dre ,Canada
" Young, Wild & Free (feta. Bruno Mars)",1490009433,498058.0,Snoop Dogg ,Canada
 Look At Me!,1488817080,496547.0,XXXTENTACION ,Canada
 Call Me Maybe,1487449356,913965.0,Carly Rae Jepsen ,Canada
 Enter Sandman (Remastered),1484015064,928101.0,Metallica ,Canada
 Revenge,1483803348,1080235.0,XXXTENTACION ,Canada
 positions,1483526843,427336.0,Ariana Grande ,Canada
 Calm Down,1483474961,873674.0,Rema ,Canada
 Fortunate Son,1482712985,944206.0,Creedence Clearwater Revival ,Canada
 Best Part,1482298917,1380545.0,Daniel Caesar ,Canada
 Shake It Off,1479530912,604852.0,Taylor Swift ,Canada
 Sure Thing,1478984213,1522566.0,Miguel ,Canada
 Sweet Dreams (Are Made of This),1474459530,1941478.0,Eurythmics ,Canada
 Side To Side,1473269806,468617.0,Ariana Grande ,Canada
 Under the Bridge,1468778207,647291.0,Red Hot Chili Peppers ,Canada
 It Ain't Me,1467829577,403331.0,Kygo ,Canada
 Scars To Your Beautiful,1465571385,404634.0,Alessia Cara ,Canada
 FRIENDS,1464346945,267574.0,Marshmello ,Canada
 Talking to the Moon,1463578550,1530556.0,Bruno Mars ,Canada
 Work from Home,1459794900,318731.0,Fifth Harmony ,Canada
 Pink + White,1459367937,1499410.0,Frank Ocean ,Canada
 Stronger,1455381479,461810.0,Kanye West ,Canada
 Apocalypse,1454086198,1673028.0,Cigarettes After Sex ,Canada
 Waiting For Love,1453530644,525537.0,Avicii ,Canada
 Sucker,1449234318,329013.0,Jonas Brothers ,Canada
 Chop Suey!,1448098793,748790.0,System Of A Down ,Canada
 greedy,1444330284,1496195.0,Tate McRae ,Canada
 Work,1441312197,377503.0,Rihanna ,Canada
 Ain't No Mountain High Enough,1440956499,1034253.0,Marvin Gaye ,Canada
 Losing My Religion,1440136246,919763.0,R.E.M. ,Canada
 Animals,1440004491,857563.0,Maroon 5 ,Canada
 Ransom,1439747059,919243.0,Lil Tecca ,Canada
 Ain't No Mountain High Enough,1437559891,1102780.0,Unknown ,Canada
 Yonaguni,1435729365,293908.0,Bad Bunny ,Canada
 Dark Red,1434321482,1231475.0,Steve Lacy ,Canada
 Into You,1432909704,633915.0,Ariana Grande ,Canada
 Happy,1431802574,519260.0,Pharrell Williams ,Canada
" i hate u, i love u",1430541283,232405.0,gnash ,Canada
 Hey Ya!,1428451440,783099.0,Outkast ,Canada
 Todo De Ti,1426095728,803887.0,Rauw Alejandro ,Canada
 Dancing Queen,1423354735,1224403.0,ABBA ,Canada
 Heartless,1422758849,988179.0,Kanye West ,Canada
 Creepin',1422701593,831963.0,Metro Boomin ,Canada
 cardigan,1421155316,1072449.0,Taylor Swift ,Canada
 Beautiful People,1420532361,200594.0,Ed Sheeran ,Canada
 LOVE. FEAT. ZACARI.,1420362903,664512.0,Kendrick Lamar ,Canada
 No Me Conoce,1418784717,702921.0,JHAYCO ,Canada
 Just Give Me a Reason,1418099749,1145938.0,P!nk ,Canada
 Yeah!,1417409087,1415472.0,USHER ,Canada
 Here Comes The Sun,1415926132,863247.0,The Beatles ,Canada
 Classic,1413719106,461443.0,MKTO ,Canada
 Ride It,1413397807,572531.0,Regard ,Canada
 Better,1413335489,566728.0,Khalid ,Canada
 Meant to Be,1410259116,220623.0,Bebe Rexha ,Canada
 In My Feelings,1408315894,153966.0,Drake ,Canada
 Location,1404032647,417618.0,Khalid ,Canada
 Mercy,1397395634,458485.0,Shawn Mendes ,Canada
 Con Calma,1397058803,409881.0,Daddy Yankee ,Canada
 Dancing With A Stranger,1396734532,502181.0,Sam Smith ,Canada
 More Than You Know,1396656820,396285.0,Axwell /\ Ingrosso ,Canada
 Unstoppable,1395297712,1153444.0,Sia ,Canada
 Happier Than Ever,1394078140,682106.0,Billie Eilish ,Canada
 changes,1393875102,268764.0,XXXTENTACION ,Canada
 Taste,1390824030,352028.0,Tyga ,Canada
 Poker Face,1390695573,1003295.0,Lady Gaga ,Canada
 Grenade,1389512413,767513.0,Bruno Mars ,Canada
 Stay,1388561486,731470.0,Rihanna ,Canada
 Time Of Our Lives,1387355809,1122004.0,Unknown ,Canada
 Time of Our Lives,1387355809,1122004.0,Pitbull ,Canada
 Wolves,1386534228,260547.0,Selena Gomez ,Canada
 Rather Be,1386006794,706749.0,Clean Bandit ,Canada
 Bang Bang,1383254950,476252.0,Jessie J ,Canada
 Young And Beautiful,1382378674,1221820.0,Lana Del Rey ,Canada
 Chasing Cars,1380926150,539301.0,Snow Patrol ,Canada
 Castle on the Hill,1380334248,463849.0,Ed Sheeran ,Canada
 Toxic,1379429533,1205670.0,Britney Spears ,Canada
 Stereo Hearts,1379282542,578028.0,Gym Class Heroes ,Canada
 Leave The Door Open,1377466079,552685.0,Bruno Mars ,Canada
 Don't,1375556175,1110496.0,Bryson Tiller ,Canada
 Come As You Are,1375005912,874221.0,Nirvana ,Canada
 Paradise,1374140183,627030.0,Coldplay ,Canada
 We Will Rock You,1367569431,757325.0,Queen ,Canada
 Hotline Bling,1367022103,274442.0,Drake ,Canada
 Eye of the Tiger,1363158891,886904.0,Survivor ,Canada
 Feel It Still,1362598577,423200.0,Portugal. The Man ,Canada
 WAP,1362354451,339336.0,Cardi B ,Canada
 What Makes You Beautiful,1361819173,810292.0,One Direction ,Canada
 PILLOWTALK,1361737011,628348.0,ZAYN ,Canada
 Lemonade,1361426226,461348.0,Internet Money ,Canada
 Sweet Home Alabama,1361313956,634526.0,Lynyrd Skynyrd ,Canada
 Efecto,1360865224,555962.0,Bad Bunny ,Canada
 Beautiful Things,1360463954,4241882.0,Benson Boone ,Canada
 Safe and Sound,1360245855,644409.0,Capital Cities ,Canada
 Story of My Life,1360174072,847660.0,One Direction ,Canada
 no tears left to cry,1359090483,235352.0,Ariana Grande ,Canada
 Under The Influence,1359083273,1257738.0,Chris Brown ,Canada
 Always Remember Us This Way,1358242471,898385.0,Lady Gaga ,Canada
 Shivers,1356315091,,Ed Sheeran ,Canada
 1,1352987823,214432.0,Logic ,Canada
 MIA,1351807874,259584.0,Bad Bunny ,Canada
 Ho Hey,1351452613,643049.0,The Lumineers ,Canada
 Hawái,1351421665,627900.0,Maluma ,Canada
 Ophelia,1349251165,588795.0,The Lumineers ,Canada
 Happier,1348492627,245794.0,Ed Sheeran ,Canada
 Galway Girl,1348054824,313103.0,Ed Sheeran ,Canada
Eazy ,1344945126,699817.0,G,Canada
 When We Were Young,1342833416,611306.0,Adele ,Canada
 Robbery,1342597407,386377.0,Juice WRLD ,Canada
 Where Are You Now,1342305911,1139763.0,Lost Frequencies ,Canada
 SLOW DANCING IN THE DARK,1341048596,473622.0,Joji ,Canada
 Light It Up,1340904047,422542.0,Major Lazer ,Canada
 Bones,1338648068,942486.0,Imagine Dragons ,Canada
 Glimpse of Us,1336313983,991231.0,Joji ,Canada
 Whatever It Takes,1330537665,629770.0,Imagine Dragons ,Canada
 Blueberry Faygo,1329708814,330799.0,Lil Mosey ,Canada
 MIDDLE CHILD,1327862767,396528.0,J. Cole ,Canada
 My Universe,1327628676,590519.0,Coldplay ,Canada
 Espresso,1316210474,5709725.0,Sabrina Carpenter ,Canada
 Praise The Lord (Da Shine),1315277022,451185.0,A$AP Rocky ,Canada
 Bad Romance,1311036384,769504.0,Lady Gaga ,Canada
 Nice For What,1306414167,236177.0,Drake ,Canada
 Give Me Everything,1303828752,1641663.0,Pitbull ,Canada
 Can't Stop,1303241958,1254262.0,Red Hot Chili Peppers ,Canada
 Scared to Be Lonely,1301295396,546168.0,Martin Garrix ,Canada
 Crazy In Love,1300508141,1288780.0,Beyoncé ,Canada
 Wet Dreamz,1298934288,538552.0,J. Cole ,Canada
 Goodbyes,1297767602,262464.0,Post Malone ,Canada
 TiK ToK,1294611303,1195432.0,Kesha ,Canada
 hot girl bummer,1293537324,237604.0,blackbear ,Canada
 Thrift Shop,1291261433,643970.0,Macklemore & Ryan Lewis ,Canada
 Thrift Shop,1290617463,605756.0,Unknown ,Canada
 Butter,1289370484,276464.0,BTS ,Canada
 Like Crazy,1288246596,313383.0,Jimin ,Canada
" Paint It, Black",1287722563,858355.0,The Rolling Stones ,Canada
 I Wanna Dance with Somebody (Who Loves Me),1287460210,700426.0,Whitney Houston ,Canada
 Ella Baila Sola,1286070366,568440.0,Eslabon Armado ,Canada
 PROVENZA,1285897866,966346.0,KAROL G ,Canada
 Natural,1283413065,509408.0,Imagine Dragons ,Canada
 Summer Of '69,1283396654,702664.0,Bryan Adams ,Canada
 Zombie,1282611374,771807.0,The Cranberries ,Canada
 Promiscuous,1279663526,756040.0,Nelly Furtado ,Canada
 Astronaut In The Ocean,1279207946,290434.0,Masked Wolf ,Canada
 I'm the One,1279069067,208892.0,DJ Khaled ,Canada
 You Shook Me All Night Long,1279024852,1241851.0,AC/DC ,Canada
 Style,1275999844,497318.0,Taylor Swift ,Canada
 Falling,1275200342,471606.0,Harry Styles ,Canada
 Dancing On My Own,1274227784,420573.0,Calum Scott ,Canada
